antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'Moisturizer'}),frozenset({'Face Wash'}),0.327,0.5373333333333333,0.29533333333333334,0.9031600407747197,1.6808189344442674,1.0,0.11962533333333333,4.777642105263158,0.6018602061454557,0.5190392501464557,0.7906917307810944,0.7263939161689976
frozenset({'Face Wash'}),frozenset({'Moisturizer'}),0.5373333333333333,0.327,0.29533333333333334,0.5496277915632755,1.6808189344442674,1.0,0.11962533333333333,1.4943195592286502,0.8754724468355006,0.5190392501464557,0.33079909593354445,0.7263939161689976
frozenset({'Serum Vitamin C'}),frozenset({'Sunscreen'}),0.6263333333333333,0.445,0.41133333333333333,0.6567323044172433,1.475802931274704,1.0,0.13261499999999998,1.6168139534883723,0.8628084440698206,0.6232323232323232,0.3814996475986366,0.7905384368528163
frozenset({'Sunscreen'}),frozenset({'Serum Vitamin C'}),0.445,0.6263333333333333,0.41133333333333333,0.9243445692883895,1.4758029312747039,1.0,0.13261499999999998,4.939059405940593,0.5809058653467082,0.6232323232323232,0.7975322996121039,0.7905384368528163
frozenset({'Face Wash'}),frozenset({'Serum Vitamin C'}),0.5373333333333333,0.6263333333333333,0.30233333333333334,0.5626550868486353,0.8983316980020788,1.0,-0.03421644444444444,0.8543981087470451,-0.19653779779227806,0.35100619195046445,-0.17041457578420516,0.5226793262875428
frozenset({'Serum Vitamin C'}),frozenset({'Face Wash'}),0.6263333333333333,0.5373333333333333,0.30233333333333334,0.4827035657264503,0.8983316980020787,1.0,-0.03421644444444444,0.8943936899862825,-0.2324670961995025,0.35100619195046445,-0.11807586658548207,0.5226793262875428
frozenset({'Sunscreen'}),frozenset({'Face Wash'}),0.445,0.5373333333333333,0.20866666666666667,0.4689138576779026,0.8726684696238882,1.0,-0.030446666666666677,0.8711706629055007,-0.20817284682179735,0.26971133132270575,-0.14788071107081566,0.4286256633302664
frozenset({'Face Wash'}),frozenset({'Sunscreen'}),0.5373333333333333,0.445,0.20866666666666667,0.3883374689826303,0.8726684696238882,1.0,-0.030446666666666677,0.9073630831643,-0.23975683082102853,0.26971133132270575,-0.10209465048174728,0.4286256633302664
frozenset({'Moisturizer'}),frozenset({'Serum Vitamin C'}),0.327,0.6263333333333333,0.17766666666666667,0.5433231396534148,0.8674664283982143,1.0,-0.027144333333333326,0.8182299107142857,-0.1850152905198776,0.22905027932960892,-0.22215038451360872,0.41349233086981546
frozenset({'Serum Vitamin C'}),frozenset({'Moisturizer'}),0.6263333333333333,0.327,0.17766666666666667,0.2836615220862161,0.8674664283982143,1.0,-0.027144333333333326,0.9395000000000001,-0.2902130217440887,0.22905027932960892,-0.06439595529536987,0.41349233086981546
frozenset({'Moisturizer'}),frozenset({'Sunscreen'}),0.327,0.445,0.123,0.37614678899082565,0.8452736831254509,1.0,-0.022515000000000007,0.8896323529411764,-0.21382984785457865,0.18952234206471494,-0.12405983965617003,0.3262756416864241
frozenset({'Sunscreen'}),frozenset({'Moisturizer'}),0.445,0.327,0.123,0.27640449438202247,0.8452736831254509,1.0,-0.022515000000000007,0.9300776397515529,-0.24801718440185067,0.18952234206471494,-0.07517905738183885,0.3262756416864241
frozenset({'Toner'}),frozenset({'Serum Vitamin C'}),0.22733333333333333,0.6263333333333333,0.115,0.5058651026392962,0.807661153761516,1.0,-0.02738644444444442,0.7562037586547973,-0.23559627906265396,0.15568592057761735,-0.32239490819100025,0.3447367024638738
frozenset({'Serum Vitamin C'}),frozenset({'Toner'}),0.6263333333333333,0.22733333333333333,0.115,0.18360830228845132,0.807661153761516,1.0,-0.02738644444444442,0.9464411125597566,-0.38924359980607115,0.15568592057761735,-0.056589772706922364,0.3447367024638738
